,time,open,high,low,close,Basis,Upper,Lower,EMA,Smoothing Line,Plot,Plot.1,Plot.2,Plot.3,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,RSI.1,RSI-based MA.1,Upper Bollinger Band.1,Lower Bollinger Band.1,Histogram,MACD,Signal,datetime,year,month,day,hour,date
575,1653494400,36.635,36.885,36.535,36.71,,,,,,36.51530278664839,37.24260207870454,39.10374823820892,41.74397426963042,45368,52068.1,59.222767005661545,42.01110600128705,,,50.845752077406,42.00068189475469,,,0.0974338567309674,-0.2290306492208174,-0.3264645059517848,2022-05-26 00:00:00,2022,6,30,21,2022-5-26
588,1653580800,39.08,39.25,38.98,39.23,,,,,,38.207264547385705,37.84715409527652,39.00959988200413,41.36938360896836,23422,46253.05,67.76655761661935,68.9801219864071,,,64.47478360940293,62.40691757699386,,,0.1406017536396141,0.6395612731097486,0.4989595194701345,2022-05-27 00:00:00,2022,7,1,23,2022-5-27
599,1653667200,40.35,40.76,40.29,40.68,,,,,,39.285440625146414,38.524027509818495,39.15073618142357,41.19677080900225,57383,44519.8,79.82312603342677,67.3475397095912,,,71.65162086931642,64.81332343978393,,,0.056473343246708,0.6786882676200179,0.6222149243733098,2022-05-28 00:00:00,2022,7,6,1,2022-5-28
603,1653994800,39.99,39.99,39.95,39.95,,,,,,39.57202692144583,38.7662726905866,39.22870858342946,41.15636062742303,600,59252.0,52.53879359428213,66.0614400212588,,,59.45541964769159,64.76543650839014,,,-0.0356710070092873,0.5936335105991262,0.6293045176084135,2022-05-31 19:00:00,2022,7,6,19,2022-5-31
608,1654012800,39.99,40.27,39.96,40.27,,,,,,39.73212037316538,38.98420991608915,39.29879376259462,41.09818711546959,30483,51199.0,63.98740926544564,61.24068416520028,,,62.66451831802303,62.831718185230535,,,-0.0886320972987179,0.4268697963242474,0.5155018936229653,2022-06-01 00:00:00,2022,7,7,0,2022-6-1
618,1654099200,39.37,39.54,39.36,39.45,,,,,,39.69543189591938,39.21666365886684,39.37049605247533,40.96483724236046,32247,47984.45,40.80046452624988,47.21881178263856,,,47.71259536587202,53.98606205948581,,,-0.1164418964398489,0.1026980635647518,0.2191399600046008,2022-06-02 00:00:00,2022,7,8,0,2022-6-2
627,1654185600,40.17,40.45,40.06,40.14,,,,,,39.69817868142442,39.35293846075045,39.41774707632039,40.85188400106189,31139,42886.25,65.45408625676264,48.964873019646426,,,58.303555284165,51.198358166141126,,,0.0210955079227749,0.0846326696301815,0.0635371617074066,2022-06-03 00:00:00,2022,7,8,22,2022-6-3
636,1654272000,40.54,41.04,40.51,40.8,,,,,,40.028059227315936,39.6105912859842,39.5448154256353,40.79415719415046,90527,51976.2,64.35300536006532,56.03844546749557,,,60.40275641385444,54.47431435064307,,,0.0896110514265168,0.2380621550217441,0.1484511035952272,2022-06-04 00:00:00,2022,7,11,19,2022-6-4
642,1654513200,40.47,40.47,40.4,40.4,,,,,,40.105497585337424,39.73584314922375,39.61857212989102,40.75937220493958,670,49312.45,57.317662637361,53.904899013403146,,,55.40954802138173,54.17312875356815,,,-0.010240080145181,0.1575841205016033,0.1678242006467843,2022-06-06 19:00:00,2022,7,12,1,2022-6-6
647,1654531200,39.15,39.54,38.96,39.35,,,,,,39.53723609322012,39.53060363225972,39.52011062661085,40.65278874926522,60646,58030.05,49.34789277000744,47.96949197396608,,,47.97534476866374,49.52857619947482,,,-0.1396628539732224,-0.2282694595867269,-0.0886066056135045,2022-06-07 00:00:00,2022,7,12,20,2022-6-7
